ID_Venta;Producto_Ing;Producto;Categoría_Ing;Categoría;Precio;Cantidad;Edad;Género_Ing;Género;Descuento;Método de Pago_Ing;Descuento_Aplicado;Cantidad_Descontada;Método de Pago;Región_Ing;Región;Fecha_Venta;Ventas_Totales;Rango_Edad
1;Smartphone;Móvil Inteligente;Electronics;Electrónica;109,89 €;3;57;Male;Masculino;23%;Debit Card;Si;75,82 €;Tarjeta de Débito;South America;América del Sur;13/2/24;253,85 €;Adultos Mayores
2;Smartwatch;Reloj Inteligente;Electronics;Electrónica;370,32 €;3;19;Female;Femenino;23%;Debit Card;Si;255,52 €;Tarjeta de Débito;South America;América del Sur;18/9/23;855,44 €;Jóvenes
3;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.308,22 €;3;27;Male;Masculino;11%;PayPal;Si;431,71 €;Paypal;Asia;Asia;13/7/24;3.492,95 €;Adultos
4;Laptop;Portátil;Electronics;Electrónica;328,62 €;5;52;Male;Masculino;5%;Debit Card;Si;82,16 €;Tarjeta de Débito;South America;América del Sur;13/2/23;1.560,94 €;Adultos Mayores
5;Laptop;Portátil;Electronics;Electrónica;829,22 €;8;21;Female;Femenino;7%;Credit Card;Si;464,36 €;Tarjeta de Crédito;Africa;África;7/1/24;6.169,40 €;Jóvenes
6;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.221,73 €;1;64;Male;Masculino;6%;Bank Transfer;Si;73,30 €;Transferencia Bancaria;Asia;Asia;12/4/24;1.148,43 €;Tercera Edad
7;Smartphone;Móvil Inteligente;Electronics;Electrónica;788,71 €;9;20;Female;Femenino;20%;Debit Card;Si;1.419,68 €;Tarjeta de Débito;Africa;África;21/9/24;5.678,71 €;Jóvenes
8;Tablet;Tablet;Electronics;Electrónica;715,71 €;4;53;Female;Femenino;10%;Bank Transfer;Si;286,28 €;Transferencia Bancaria;Asia;Asia;18/9/24;2.576,56 €;Adultos Mayores
9;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.454,69 €;7;20;Male;Masculino;22%;Bank Transfer;Si;2.240,22 €;Transferencia Bancaria;Asia;Asia;21/3/24;7.942,61 €;Jóvenes
10;Headphones;Auriculares;Accessories;Accesorios;1.017,56 €;7;54;Female;Femenino;8%;Debit Card;Si;569,83 €;Tarjeta de Débito;Europe;Europa;4/5/24;6.553,09 €;Adultos Mayores
11;Smartwatch;Reloj Inteligente;Electronics;Electrónica;404,55 €;4;26;Female;Femenino;9%;Debit Card;Si;145,64 €;Tarjeta de Débito;Asia;Asia;4/11/24;1.472,56 €;Adultos
12;Smartphone;Móvil Inteligente;Electronics;Electrónica;217,79 €;6;42;Male;Masculino;10%;PayPal;Si;130,67 €;Paypal;Europe;Europa;5/1/25;1.176,07 €;Adultos Mayores
13;Tablet;Tablet;Electronics;Electrónica;589,20 €;1;45;Female;Femenino;16%;Bank Transfer;Si;94,27 €;Transferencia Bancaria;Africa;África;19/4/23;494,93 €;Adultos Mayores
14;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.301,34 €;2;56;Male;Masculino;5%;PayPal;Si;130,13 €;Paypal;Europe;Europa;6/3/24;2.472,55 €;Adultos Mayores
15;Headphones;Auriculares;Accessories;Accesorios;947,76 €;6;44;Male;Masculino;26%;Bank Transfer;Si;1.478,51 €;Transferencia Bancaria;Europe;Europa;6/4/24;4.208,05 €;Adultos Mayores
16;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.301,31 €;5;19;Female;Femenino;6%;Debit Card;Si;390,39 €;Tarjeta de Débito;North America;América del Norte;8/1/24;6.116,16 €;Jóvenes
17;Laptop;Portátil;Electronics;Electrónica;310,86 €;8;53;Male;Masculino;23%;Credit Card;Si;571,98 €;Tarjeta de Crédito;Asia;Asia;19/12/23;1.914,90 €;Adultos Mayores
18;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.162,03 €;6;32;Male;Masculino;23%;Credit Card;Si;1.603,60 €;Tarjeta de Crédito;South America;América del Sur;26/11/23;5.368,58 €;Adultos
19;Tablet;Tablet;Electronics;Electrónica;545,35 €;2;64;Female;Femenino;21%;Bank Transfer;Si;229,05 €;Transferencia Bancaria;Asia;Asia;3/7/24;861,65 €;Tercera Edad
20;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.397,46 €;3;48;Male;Masculino;22%;Credit Card;Si;922,32 €;Tarjeta de Crédito;Africa;África;25/7/24;3.270,06 €;Adultos Mayores
21;Smartphone;Móvil Inteligente;Electronics;Electrónica;324,00 €;4;62;Female;Femenino;12%;PayPal;Si;155,52 €;Paypal;Asia;Asia;12/3/23;1.140,48 €;Tercera Edad
22;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.134,97 €;5;60;Female;Femenino;16%;PayPal;Si;907,98 €;Paypal;South America;América del Sur;20/9/23;4.766,87 €;Tercera Edad
23;Headphones;Auriculares;Accessories;Accesorios;63,93 €;5;41;Male;Masculino;28%;Debit Card;Si;89,50 €;Tarjeta de Débito;Africa;África;12/8/24;230,15 €;Adultos Mayores
24;Smartwatch;Reloj Inteligente;Electronics;Electrónica;839,56 €;7;37;Male;Masculino;7%;Credit Card;Si;411,38 €;Tarjeta de Crédito;Africa;África;14/10/23;5.465,54 €;Adultos
25;Headphones;Auriculares;Accessories;Accesorios;1.154,97 €;5;42;Male;Masculino;14%;PayPal;Si;808,48 €;Paypal;Europe;Europa;26/7/23;4.966,37 €;Adultos Mayores
26;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.074,11 €;3;54;Male;Masculino;10%;Bank Transfer;Si;322,23 €;Transferencia Bancaria;Africa;África;9/2/24;2.900,10 €;Adultos Mayores
27;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.052,58 €;3;38;Female;Femenino;28%;PayPal;Si;884,17 €;Paypal;Africa;África;2/10/23;2.273,57 €;Adultos
28;Laptop;Portátil;Electronics;Electrónica;948,28 €;6;60;Male;Masculino;12%;Bank Transfer;Si;682,76 €;Transferencia Bancaria;Asia;Asia;13/6/23;5.006,92 €;Tercera Edad
29;Smartwatch;Reloj Inteligente;Electronics;Electrónica;167,34 €;10;47;Male;Masculino;8%;Credit Card;Si;133,87 €;Tarjeta de Crédito;South America;América del Sur;11/5/23;1.539,53 €;Adultos Mayores
30;Laptop;Portátil;Electronics;Electrónica;1.202,22 €;8;55;Female;Femenino;3%;Credit Card;Si;288,53 €;Tarjeta de Crédito;Africa;África;11/3/24;9.329,23 €;Adultos Mayores
31;Tablet;Tablet;Electronics;Electrónica;823,31 €;9;47;Male;Masculino;5%;PayPal;Si;370,49 €;Paypal;Europe;Europa;5/5/24;7.039,30 €;Adultos Mayores
32;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.301,15 €;3;24;Female;Femenino;7%;Bank Transfer;Si;273,24 €;Transferencia Bancaria;South America;América del Sur;15/9/24;3.630,21 €;Jóvenes
33;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.066,10 €;6;36;Male;Masculino;15%;PayPal;Si;959,49 €;Paypal;South America;América del Sur;8/3/23;5.437,11 €;Adultos
34;Laptop;Portátil;Electronics;Electrónica;815,54 €;7;34;Male;Masculino;20%;Bank Transfer;Si;1.141,76 €;Transferencia Bancaria;North America;América del Norte;17/2/24;4.567,02 €;Adultos
35;Smartwatch;Reloj Inteligente;Electronics;Electrónica;1.056,13 €;4;60;Female;Femenino;23%;Debit Card;Si;971,64 €;Tarjeta de Débito;North America;América del Norte;23/7/24;3.252,88 €;Tercera Edad
36;Smartwatch;Reloj Inteligente;Electronics;Electrónica;745,22 €;10;36;Male;Masculino;17%;PayPal;Si;1.266,87 €;Paypal;Asia;Asia;26/9/23;6.185,33 €;Adultos
37;Headphones;Auriculares;Accessories;Accesorios;389,91 €;6;20;Male;Masculino;10%;Debit Card;Si;233,95 €;Tarjeta de Débito;Asia;Asia;20/6/23;2.105,51 €;Jóvenes
38;Smartphone;Móvil Inteligente;Electronics;Electrónica;1.370,48 €;9;62;Male;Masculino;28%;Debit Card;Si;3.453,61 €;Tarjeta de Débito;Africa;África;23/11/24;8.880,71 €;Tercera Edad
39;Smartphone;Móvil Inteligente;Electronics;Electrónica;730,67 €;10;28;Female;Femenino;18%;Debit Card;Si;1.315,21 €;Tarjeta de Débito;Asia;Asia;15/2/23;5.991,49 €;Adultos
40;Smartphone;Móvil Inteligente;Electronics;Electrónica;509,32 €;1;25;Female;Femenino;2%;Debit Card;Si;10,19 €;Tarjeta de Débito;North America;América del Norte;15/6/23;499,13 €;Adultos
41;Headphones;Auriculares;Accessories;Accesorios;455,43 €;7;59;Male;Masculino;11%;Debit Card;Si;350,68 €;Tarjeta de Débito;Asia;Asia;15/6/23;2.837,33 €;Adultos Mayores
42;Smartwatch;Reloj Inteligente;Electronics;Electrónica;890,67 €;5;50;Female;Femenino;4%;Credit Card;Si;178,13 €;Tarjeta de Crédito;Africa;África;16/8/23;4.275,22 €;Adultos Mayores
43;Headphones;Auriculares;Accessories;Accesorios;51,20 €;10;63;Female;Femenino;29%;Debit Card;Si;148,48 €;Tarjeta de Débito;South America;América del Sur;4/11/24;363,52 €;Tercera Edad
44;Tablet;Tablet;Electronics;Electrónica;600,41 €;5;53;Female;Femenino;28%;Credit Card;Si;840,57 €;Tarjeta de Crédito;Asia;Asia;18/6/23;2.161,48 €;Adultos Mayores
45;Headphones;Auriculares;Accessories;Accesorios;1.460,29 €;7;51;Male;Masculino;11%;PayPal;Si;1.124,42 €;Paypal;Asia;Asia;19/2/24;9.097,61 €;Adultos Mayores
46;Tablet;Tablet;Electronics;Electrónica;255,66 €;7;58;Female;Femenino;20%;Debit Card;Si;357,92 €;Tarjeta de Débito;Asia;Asia;26/2/24;1.431,70 €;Adultos Mayores
47;Smartwatch;Reloj Inteligente;Electronics;Electrónica;336,03 €;6;65;Male;Masculino;22%;Debit Card;Si;443,56 €;Tarjeta de Débito;Asia;Asia;2/2/25;1.572,62 €;Tercera Edad
48;Smartphone;Móvil Inteligente;Electronics;Electrónica;938,82 €;8;27;Male;Masculino;17%;Bank Transfer;Si;1.276,80 €;Transferencia Bancaria;North America;América del Norte;5/10/23;6.233,76 €;Adultos
49;Laptop;Portátil;Electronics;Electrónica;335,52 €;8;40;Male;Masculino;6%;Credit Card;Si;161,05 €;Tarjeta de Crédito;Europe;Europa;6/4/24;2.523,11 €;Adultos Mayores
50;Smartwatch;Reloj Inteligente;Electronics;Electrónica;485,10 €;9;25;Male;Masculino;7%;PayPal;Si;305,61 €;Paypal;South America;América del Sur;26/3/24;4.060,29 €;Adultos
51;Headphones;Auriculares;Accessories;Accesorios;929,88 €;1;27;Female;Femenino;16%;Bank Transfer;Si;148,78 €;Transferencia Bancaria;Europe;Europa;19/11/23;781,10 €;Adultos
52;Headphones;Auriculares;Accessories;Accesorios;1.012,34 €;2;41;Male;Masculino;19%;Bank Transfer;Si;384,69 €;Transferencia Bancaria;South America;América del Sur;31/7/24;1.639,99 €;Adultos Mayores
53;Smartwatch;Reloj Inteligente;Electronics;Electrónica;813,89 €;5;52;Female;Femenino;6%;Credit Card;Si;244,17 €;Tarjeta de Crédito;Asia;Asia;18/5/23;3.825,28 €;Adultos Mayores
