Venta_ID;Tipo de Producto;Categoria;Precio;Cantidad;Edad del Cliente;Género;Descuento;Método de Pago;Región;Fecha de Venta
1;Smartphone;Electronics;10989;3;57;Male;23;Debit Card;South America;13/2/24
2;Smartwatch;Electronics;37032;3;19;Female;23;Debit Card;South America;18/9/23
3;Smartwatch;Electronics;130822;3;27;Male;11;PayPal;Asia;13/7/24
4;Laptop;Electronics;32862;5;52;Male;5;Debit Card;South America;13/2/23
5;Laptop;Electronics;82922;8;21;Female;7;Credit Card;Africa;7/1/24
6;Smartphone;Electronics;122173;1;64;Male;6;Bank Transfer;Asia;12/4/24
7;Smartphone;Electronics;78871;9;20;Female;2;Debit Card;Africa;21/9/24
8;Tablet;Electronics;71571;4;53;Female;1;Bank Transfer;Asia;18/9/24
9;Smartphone;Electronics;145469;7;20;Male;22;Bank Transfer;Asia;21/3/24
10;Headphones;Accessories;101756;7;54;Female;8;Debit Card;Europe;4/5/24
11;Smartwatch;Electronics;40455;4;26;Female;9;Debit Card;Asia;4/11/24
12;Smartphone;Electronics;21779;6;42;Male;1;PayPal;Europe;5/1/25
13;Tablet;Electronics;5892;1;45;Female;16;Bank Transfer;Africa;19/4/23
14;Smartphone;Electronics;130134;2;56;Male;5;PayPal;Europe;6/3/24
15;Headphones;Accessories;94776;6;44;Male;26;Bank Transfer;Europe;6/4/24
16;Smartwatch;Electronics;130131;5;19;Female;6;Debit Card;North America;8/1/24
17;Laptop;Electronics;31086;8;53;Male;23;Credit Card;Asia;19/12/23
18;Smartphone;Electronics;116203;6;32;Male;23;Credit Card;South America;26/11/23
19;Tablet;Electronics;54535;2;64;Female;21;Bank Transfer;Asia;3/7/24
20;Smartphone;Electronics;139746;3;48;Male;22;Credit Card;Africa;25/7/24
21;Smartphone;Electronics;3240;4;62;Female;12;PayPal;Asia;12/3/23
22;Smartwatch;Electronics;113497;5;60;Female;16;PayPal;South America;20/9/23
23;Headphones;Accessories;6393;5;41;Male;28;Debit Card;Africa;12/8/24
24;Smartwatch;Electronics;83956;7;37;Male;7;Credit Card;Africa;14/10/23
25;Headphones;Accessories;115497;5;42;Male;14;PayPal;Europe;26/7/23
26;Smartwatch;Electronics;107411;3;54;Male;1;Bank Transfer;Africa;9/2/24
27;Smartwatch;Electronics;105258;3;38;Female;28;PayPal;Africa;2/10/23
28;Laptop;Electronics;94828;6;60;Male;12;Bank Transfer;Asia;13/6/23
29;Smartwatch;Electronics;16734;10;47;Male;8;Credit Card;South America;11/5/23
30;Laptop;Electronics;120222;8;55;Female;3;Credit Card;Africa;11/3/24
31;Tablet;Electronics;82331;9;47;Male;5;PayPal;Europe;5/5/24
32;Smartwatch;Electronics;130115;3;24;Female;7;Bank Transfer;South America;15/9/24
33;Smartphone;Electronics;10661;6;36;Male;15;PayPal;South America;8/3/23
34;Laptop;Electronics;81554;7;34;Male;2;Bank Transfer;North America;17/2/24
35;Smartwatch;Electronics;105613;4;60;Female;23;Debit Card;North America;23/7/24
36;Smartwatch;Electronics;74522;10;36;Male;17;PayPal;Asia;26/9/23
37;Headphones;Accessories;38991;6;20;Male;1;Debit Card;Asia;20/6/23
38;Smartphone;Electronics;137048;9;62;Male;28;Debit Card;Africa;23/11/24
39;Smartphone;Electronics;73067;10;28;Female;18;Debit Card;Asia;15/2/23
40;Smartphone;Electronics;50932;1;25;Female;2;Debit Card;North America;15/6/23
41;Headphones;Accessories;45543;7;59;Male;11;Debit Card;Asia;15/6/23
42;Smartwatch;Electronics;89067;5;50;Female;4;Credit Card;Africa;16/8/23
43;Headphones;Accessories;512;10;63;Female;29;Debit Card;South America;4/11/24
44;Tablet;Electronics;60041;5;53;Female;28;Credit Card;Asia;18/6/23
45;Headphones;Accessories;146029;7;51;Male;11;PayPal;Asia;19/2/24
46;Tablet;Electronics;25566;7;58;Female;2;Debit Card;Asia;26/2/24
47;Smartwatch;Electronics;33603;6;65;Male;22;Debit Card;Asia;2/2/25
48;Smartphone;Electronics;93882;8;27;Male;17;Bank Transfer;North America;5/10/23
49;Laptop;Electronics;33552;8;40;Male;6;Credit Card;Europe;6/4/24
50;Smartwatch;Electronics;4851;9;25;Male;7;PayPal;South America;26/3/24
51;Headphones;Accessories;92988;1;27;Female;16;Bank Transfer;Europe;19/11/23
52;Headphones;Accessories;101234;2;41;Male;19;Bank Transfer;South America;31/7/24
53;Smartwatch;Electronics;81389;5;52;Female;6;Credit Card;Asia;18/5/23
54;Tablet;Electronics;107947;1;61;Female;29;Debit Card;South America;15/3/24
55;Tablet;Electronics;137117;1;27;Male;27;Debit Card;Europe;17/11/23
56;Smartphone;Electronics;81679;1;44;Female;5;Debit Card;Africa;16/11/24
57;Tablet;Electronics;57838;8;46;Male;7;Bank Transfer;Europe;25/10/24
58;Laptop;Electronics;7179;5;41;Female;26;Bank Transfer;Europe;1/4/23
59;Tablet;Electronics;91404;5;29;Male;25;Bank Transfer;Asia;21/6/23
60;Tablet;Electronics;31124;7;53;Male;4;Debit Card;Africa;27/2/23
61;Laptop;Electronics;14999;8;48;Male;1;Debit Card;Asia;23/10/23
62;Tablet;Electronics;11238;9;29;Male;29;Credit Card;South America;25/12/24
63;Laptop;Electronics;62866;8;34;Female;1;Debit Card;Africa;9/10/24
64;Headphones;Accessories;30916;3;58;Male;25;Debit Card;Africa;29/12/24
65;Headphones;Accessories;129647;1;50;Male;6;PayPal;Africa;21/2/23
66;Laptop;Electronics;113069;6;47;Male;15;Bank Transfer;Asia;9/11/24
67;Laptop;Electronics;28904;4;22;Female;2;PayPal;Africa;27/6/24
68;Laptop;Electronics;86708;5;59;Male;22;Debit Card;South America;25/3/24
69;Smartphone;Electronics;45803;1;54;Male;8;Debit Card;Africa;29/9/23
70;Smartphone;Electronics;98589;2;45;Female;7;PayPal;Asia;11/2/23
71;Smartphone;Electronics;19884;1;42;Female;24;Debit Card;North America;15/6/24
72;Headphones;Accessories;42397;10;55;Female;12;Debit Card;North America;8/11/24
73;Laptop;Electronics;34073;10;35;Female;17;Bank Transfer;North America;10/11/24
